Monomer_ID,SMILES,Affinity_Type,pKi
11338,CC(C)C(NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(=O)NO,Ki,7.824
11339,CC(C)C(NS(=O)(=O)c1c(F)c(F)c(F)c(F)c1F)C(=O)NO,Ki,7.959
11340,COc1ccc(cc1)S(=O)(=O)NC(C(C)C)C(=O)NO,Ki,7.409
11341,CC(C)C(N(Cc1ccccc1)S(=O)(=O)c1c(F)c(F)c(F)c(F)c1F)C(=O)NO,Ki,7.347
11342,CC(C)C(N(Cc1ccccc1)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(=O)NO,Ki,6.967
11344,CC(C)CC(NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(=O)NO,Ki,7.745
11345,CC(C)CC(NS(=O)(=O)c1c(F)c(F)c(F)c(F)c1F)C(=O)NO,Ki,7.959
11346,COc1ccc(cc1)S(=O)(=O)NC(CC(C)C)C(=O)NO,Ki,8.301
11347,CC(C)CC(N(Cc1ccccc1)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(=O)NO,Ki,6.936
11348,CC(C)CC(N(Cc1ccccc1)S(=O)(=O)c1c(F)c(F)c(F)c(F)c1F)C(=O)NO,Ki,7.252
11350,ONC(=O)CN(Cc1ccccc1N(=O)=O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Ki,7.0
11351,ONC(=O)CN(Cc1ccccc1N(=O)=O)S(=O)(=O)c1c(F)c(F)c(F)c(F)c1F,Ki,7.131
11352,COc1ccc(cc1)S(=O)(=O)N(CC(=O)NO)Cc1ccccc1N(=O)=O,Ki,6.77
11353,ONC(=O)CN(Cc1ccc(cc1)N(=O)=O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Ki,6.928
11354,ONC(=O)CN(Cc1ccc(cc1)N(=O)=O)S(=O)(=O)c1c(F)c(F)c(F)c(F)c1F,Ki,6.971
11357,CC(N(Cc1ccccc1N(=O)=O)S(=O)(=O)c1c(F)c(F)c(F)c(F)c1F)C(=O)NO,Ki,6.796
11366,ONS(=O)(=O)C(F)(F)F,Ki,7.523
11367,ONS(=O)(=O)C(Cl)(Cl)Cl,Ki,6.824
11368,ONS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Ki,7.824
11369,ONS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Ki,8.046
11370,CN(C)S(=O)(=O)NO,Ki,7.398
11371,ONS(=O)(=O)Cc1ccccc1,Ki,6.721
11372,ONS(=O)(=O)c1ccccc1,Ki,7.585
11373,ONS(=O)(=O)c1ccc(F)cc1,Ki,7.721
11374,ONS(=O)(=O)c1ccc(Cl)cc1,Ki,7.678
11375,ONS(=O)(=O)c1ccc(Br)cc1,Ki,7.745
11376,ONS(=O)(=O)c1ccc(I)cc1,Ki,7.886
11377,Cc1ccc(cc1)S(=O)(=O)NO,Ki,7.155
11378,ONS(=O)(=O)c1ccc(cc1)N(=O)=O,Ki,8.046
11379,ONS(=O)(=O)c1cccc(c1)N(=O)=O,Ki,8.301
11380,ONS(=O)(=O)c1ccccc1N(=O)=O,Ki,8.301
11381,ONS(=O)(=O)c1ccc(c(Cl)c1)N(=O)=O,Ki,8.398
11382,CC(=O)Nc1ccc(cc1)S(=O)(=O)NO,Ki,7.538
11383,Nc1ccc(cc1)S(=O)(=O)NO,Ki,7.432
11384,COc1ccc(cc1N)S(=O)(=O)NO,Ki,7.357
11385,COc1ccc(cc1)S(=O)(=O)NO,Ki,7.292
11386,Cc1cc(C)c(c(C)c1)S(=O)(=O)NO,Ki,7.208
11387,ONS(=O)(=O)c1c(F)c(F)c(F)c(F)c1F,Ki,9.097
11388,ONS(=O)(=O)c1cccc(c1)C(F)(F)F,Ki,8.959
11389,ONS(=O)(=O)c1ccccc1C(O)=O,Ki,9.046
11390,NS(=O)(=O)c1cc2C=C(CN3CCOCC3)N(c3cccc(O)c3)S(=O)(=O)c2s1 |t:7|,Ki,9.824
11391,COc1cccc(c1)N1C(CN2CCOCC2)=Cc2cc(sc2S1(=O)=O)S(N)(=O)=O |c:18|,Ki,9.824
11393,COCCN(CCOC)CCN1C=Cc2cc(sc2S1(=O)=O)S(N)(=O)=O |c:12|,Ki,9.469
11394,NS(=O)(=O)c1cc2C=CN(CCN3CCOCC3)S(=O)(=O)c2s1 |c:7|,Ki,9.495
11395,CC(=O)N1CCN(CCN2C=Cc3cc(sc3S2(=O)=O)S(N)(=O)=O)CC1 |c:10|,Ki,9.602
11396,CCCNCCN1C=Cc2cc(sc2S1(=O)=O)S(N)(=O)=O |c:7|,Ki,9.284
11397,CN1C(CN2CCOCC2)=Cc2cc(sc2S1(=O)=O)S(N)(=O)=O |c:10|,Ki,9.585
11398,COCCN(C)CC1=Cc2cc(sc2S(=O)(=O)N1C)S(N)(=O)=O |t:7|,Ki,9.824
11399,COCCN(CC=C)CC1=Cc2cc(sc2S(=O)(=O)N1C)S(N)(=O)=O |t:9|,Ki,10.0
11400,CCN1C(CN2CCOCC2)=Cc2cc(sc2S1(=O)=O)S(N)(=O)=O |c:11|,Ki,9.678
11401,CCN1C(CN(CCOC)CCOC)=Cc2cc(sc2S1(=O)=O)S(N)(=O)=O |c:13|,Ki,9.678
11403,NS(=O)(=O)c1cc2C=CN(C\C=C\CN3CCOCC3)S(=O)(=O)c2s1 |c:7|,Ki,9.62
11404,COCCCN(CCOC)CC1=Cc2cc(sc2S(=O)(=O)N1C)S(N)(=O)=O |t:11|,Ki,10.097
11405,CCN1C(CN(CCO)CCO)=Cc2cc(sc2S1(=O)=O)S(N)(=O)=O |c:11|,Ki,9.481
11406,CCCN1C(CN2CCOCC2)=Cc2cc(sc2S1(=O)=O)S(N)(=O)=O |c:12|,Ki,9.569
11407,CCCN1C(CN(CCOC)CCOC)=Cc2cc(sc2S1(=O)=O)S(N)(=O)=O |c:14|,Ki,9.824
11408,CCCN1C(CNCC#C)=Cc2cc(sc2S1(=O)=O)S(N)(=O)=O |c:9|,Ki,10.0
11409,CC(C)N1C(CN2CCOCC2)=Cc2cc(sc2S1(=O)=O)S(N)(=O)=O |c:12|,Ki,9.481
11410,CC(C)N1C(CNCC#C)=Cc2cc(sc2S1(=O)=O)S(N)(=O)=O |c:9|,Ki,9.328
11411,NS(=O)(=O)c1cc2C=C(CN3CCOCC3)N(CC=C)S(=O)(=O)c2s1 |t:7|,Ki,9.796
11412,NS(=O)(=O)c1cc2C=C(CN3CCOCC3)N(CC3CC3)S(=O)(=O)c2s1 |t:7|,Ki,9.523
