Monomer_ID,Internal_ID,SMILES,pKi
11397,165,CN1C(CN2CCOCC2)=Cc2cc(sc2S1(=O)=O)S(N)(=O)=O |c:10|,9.585
50107371,166,CC(=O)N1N=C(CC1c1c(C)nn(c1Cl)-c1ccc(cc1)S(N)(=O)=O)c1ccc(Cl)cc1 |c:4|,9.585
11417,167,COCCCN1C(CNC2CC2)=Cc2cc(sc2S1(=O)=O)S(N)(=O)=O |c:12|,9.585
50252992,168,Clc1ccc(cc1)-c1ccc(\C=N\NC(=O)CSc2nnc(Nc3ccccc3)s2)o1,9.569
11406,169,CCCN1C(CN2CCOCC2)=Cc2cc(sc2S1(=O)=O)S(N)(=O)=O |c:12|,9.569
50239282,170,NS(=O)(=O)c1ccc(cc1)C(=O)N1CCc2cc(O)c(O)cc2C1c1ccc(Br)cc1,9.553
50114870,171,Cc1ccc(cc1S(N)(=O)=O)-c1cnc(o1)C(=O)N1CCOCC1,9.553
50523352,172,CCN1CCN(CC1)c1cnn(-c2ccc(cc2)S(N)(=O)=O)c(=O)c1Cl,9.538
50239277,173,NS(=O)(=O)c1ccc(cc1)C(=O)N1CCc2cc(O)c(O)cc2C1c1ccc(Cl)cc1,9.538
50094393,174,Cn1nc(sc1=NS(=O)(=O)c1c(F)c(F)c(F)c(F)c1F)S(N)(=O)=O,9.523
50531500,175,NS(=O)(=O)c1ccc(cc1)-c1noc(n1)-c1ccncc1,9.523
11625,176,Nc1c(F)cc(cc1Cl)S(=O)(=O)Nc1nnc(s1)S(N)(=O)=O,9.523
50094441,177,NS(=O)(=O)c1nc2ccc(OS(=O)(=O)c3c(F)c(F)c(F)c(F)c3F)cc2s1,9.523
11627,178,Nc1c(F)cc(cc1I)S(=O)(=O)Nc1nnc(s1)S(N)(=O)=O,9.523
14736,179,Cc1cc(C)[n+](c(C)c1C)-c1ccc(cc1)S(=O)(=O)Nc1nnc(s1)S(N)(=O)=O,9.523
11412,180,NS(=O)(=O)c1cc2C=C(CN3CCOCC3)N(CC3CC3)S(=O)(=O)c2s1 |t:7|,9.523
50041027,181,CCN[C@H]1C[C@H](CC)S(=O)(=O)c2sc(cc12)S(N)(=O)=O,9.523
50091614,182,CC(C)c1cccc(NC(=O)Nc2ccc(cc2)S(N)(=O)=O)c1,9.523
50107370,183,CC(=O)N1N=C(CC1c1c(C)nn(c1Cl)-c1ccc(cc1)S(N)(=O)=O)c1ccc(Br)cc1 |c:4|,9.523
50094347,184,NS(=O)(=O)c1nnc(NS(=O)(=O)c2c(F)c(F)c(F)c(F)c2F)s1,9.523
50147751,185,NS(=O)(=O)c1ccc(cc1)-n1c(S)nc2c(Cl)cccc2c1=O,9.509
50566700,186,NS(=O)(=O)c1ccc(cc1)-n1cc(COc2ccnc(n2)N2CCCCC2)nn1,9.509
11413,187,NS(=O)(=O)c1cc2C=C(CN3CCOCC3)N(C3CCCCC3)S(=O)(=O)c2s1 |t:7|,9.509
50566716,188,CCN1CCN(CC1)c1nc(C)cc(OCc2cn(nn2)-c2ccc(cc2)S(N)(=O)=O)n1,9.495
11394,189,NS(=O)(=O)c1cc2C=CN(CCN3CCOCC3)S(=O)(=O)c2s1 |c:7|,9.495
11405,190,CCN1C(CN(CCO)CCO)=Cc2cc(sc2S1(=O)=O)S(N)(=O)=O |c:11|,9.481
11409,191,CC(C)N1C(CN2CCOCC2)=Cc2cc(sc2S1(=O)=O)S(N)(=O)=O |c:12|,9.481
50079068,192,NCCC(=O)Nc1nnc(s1)S(N)(=O)=O,9.478
50475762,193,NCCCC(=O)OCCc1ccc(cc1)S(N)(=O)=O,9.478
11393,194,COCCN(CCOC)CCN1C=Cc2cc(sc2S1(=O)=O)S(N)(=O)=O |c:12|,9.469
50147752,195,COc1cc2c(nc(S)n(-c3ccc(cc3)S(N)(=O)=O)c2=O)c(OC)c1OC,9.456
50508855,196,NS(=O)(=O)c1ccc(NC(=O)C(\Cc2ccc(O)c(Br)c2)=N\O)cc1,9.456
50527096,197,CC(=O)C(=C/c1ccccc1Cl)\C(=O)Nc1ccc(cc1)S(N)(=O)=O,9.444
50531503,198,NS(=O)(=O)c1cccc(c1)-c1noc(n1)-c1ccsc1,9.42
50093581,199,COc1ccc(OC)c(c1)C(C)NS(N)(=O)=O,9.416
26994,200,NS(O)(=O)=O,9.409
14719,201,CC(C)c1cc(C)cc(C)[n+]1-c1ccc(cc1)S(=O)(=O)Nc1nnc(s1)S(N)(=O)=O,9.409
50531524,202,NS(=O)(=O)c1ccc(cc1)-c1noc(n1)-c1cccs1,9.409
210935,203,NS(=O)(=O)c1ccc(cc1)-c1ccccc1,9.401
50515839,204,CC(=O)N1N=C(CC1c1ccc(cc1)[N+]([O-])=O)c1ccc(OS(N)(=O)=O)cc1 |c:4|,9.398
50515815,205,CC(=O)N1N=C(CC1c1ccccc1Cl)c1ccc(OS(N)(=O)=O)cc1 |c:4|,9.398
50097289,206,"Cn1nc(sc1=NC(=O)CN(CCN(CCN(CC(O)=O)CC(=O)N=c1sc(nn1C)S(N)(=O)=O)CC(O)=O)CC(O)=O)S(N)(=O)=O |w:24.24,6.7|",9.398
50251369,207,NS(=O)(=O)c1nnc(\N=C\c2cccc(\C=N\c3nnc(s3)S(N)(=O)=O)c2)s1,9.398
50515838,208,CC(=O)N1N=C(CC1c1cc(Cl)ccc1Cl)c1ccc(OS(N)(=O)=O)cc1 |c:4|,9.398
50094324,209,NS(=O)(=O)c1nnc(NC(=O)CCNS(=O)(=O)c2c(F)c(F)c(F)c(F)c2F)s1,9.398
50588854,210,CC(=O)Nc1cccc(c1)-c1noc(n1)-c1ccc(cc1)S(N)(=O)=O,9.398
50515814,211,CC(=O)N1N=C(CC1c1ccccc1)c1ccc(OS(N)(=O)=O)cc1 |c:4|,9.398
50515806,212,COc1ccc(cc1)C1=NN(C(C1)c1ccc(OS(N)(=O)=O)cc1)C(C)=O |t:9|,9.398
50515811,213,CC(=O)N1N=C(CC1c1ccc(cc1)C(F)(F)F)c1ccc(OS(N)(=O)=O)cc1 |c:4|,9.398
50515807,214,CC(=O)N1N=C(CC1c1cccc(OS(N)(=O)=O)c1)c1ccc(F)cc1 |c:4|,9.398
50219176,215,[Zn++].Cn1nc(s\c1=N\C(=O)CN(CCN(CCN(CC([O-])=O)CC(=O)\N=c1/sc(nn1C)S(N)(=O)=O)CC([O-])=O)CC(O)=O)S(N)(=O)=O,9.398
50538706,216,NS(=O)(=O)c1ccc(cc1)C(=O)N1CCN(CC1)C(=O)c1cccc(F)c1,9.387
50176610,217,NS(=O)(=O)c1ccc(Nc2csc(Nc3ccc(cc3)S(N)(=O)=O)n2)cc1,9.387
