Monomer_ID,SMILES,Affinity_Type,Affinity_Unit,Affinity_Value
50068970,CCC(C(=O)N[C@@H](CC(O)=O)C(=O)CN(C)C)n1cccc(NC(=O)c2ccc3ccccc3c2)c1=O,Ki,nM,23.0
50068971,CCC(C(=O)NC(CC(O)=O)C(=O)CN1CCC(CC1)C(N)=O)n1cccc(NC(=O)c2ccc3ccccc3c2)c1=O,Ki,nM,12.0
50068972,CCC(C(=O)N[C@@H](CC(O)=O)C(=O)CNCCc1ccccc1)n1cccc(NC(=O)c2ccc3ccccc3c2)c1=O,Ki,nM,0.37
50068973,CCCCCC(=O)NCC(=O)C(CC(O)=O)NC(=O)C(CC)n1cccc(NC(=O)c2ccc3ccccc3c2)c1=O,Ki,nM,34.0
50071542,CC(C)C(NC(C)=O)C(=O)N[C@@H](CC(O)=O)C(=O)COC(=O)Cc1c(Cl)cccc1Cl,Ki,nM,82.0
50071543,CC(C)C(NC(C)=O)C(=O)N[C@@H](CC(O)=O)C(=O)COC(=O)Cc1c(Cl)ccc(Cl)c1Cl,Ki,nM,113.0
50084633,OC(=O)C[C@H](NC(=O)C(c1ccccc1)n1cccc(NC(=O)c2ccc3ccccc3c2)c1=O)C(=O)COc1ccccc1,Ki,nM,1.3
50084635,OC(=O)C[C@H](NC(=O)[C@@H]1CCCN2N1C(=O)C(CCC2=O)NC(=O)c1ccccc1)C=O,Ki,nM,5.0
50084658,CC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)Nc1ccc(Cc2ccccc2)n(CC(=O)N[C@@H](CC(O)=O)C=O)c1=O,Ki,nM,54.0
50091565,CC(C)[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](C)C(=O)N[C@@H](CC(O)=O)C(=O)c1ncc(o1)-c1ccccc1Cl,Ki,nM,260.0
50091577,OC(=O)C[C@H](NC(=O)C(c1ccccc1)n1cccc(NC(=O)c2cccc3ccccc23)c1=O)C(=O)COc1ccccc1,Ki,nM,1.8
50091584,CC(C)[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](C)C(=O)N[C@@H](CC(O)=O)C(=O)c1ncc(o1)-c1c(Cl)cccc1Cl,Ki,nM,160.0
50091585,CC(C)[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(C)=O)C(=O)N[C@@H](C)C(=O)NC(CC(O)=O)C(=O)CCCCCc1ccccc1,Ki,nM,14.0
50091587,CC(C)[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](C)C(=O)N[C@@H](CC(O)=O)C(=O)c1ncc(o1)-c1ccccc1,Ki,nM,240.0
50111802,OC1OC(=O)C[C@@H]1NC(=O)CN1c2ccccc2N(C[C@H](NC(=O)c2ccccc2)C1=O)C(=O)CCc1ccccc1,Ki,nM,90.0
50139690,CC(C)[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](C)C(=O)NC(CC(O)=O)C(=O)CCCCCc1ccccc1,Ki,nM,134.0
50139695,C[C@H](NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](Cc1ccc(O)cc1)NC(C)=O)C(=O)NC(CC(O)=O)C(=O)CNS(=O)(=O)CCc1ccccc1,Ki,nM,4.0
50139699,C[C@H](NC(=O)[C@H](CCC(O)=O)NC(=O)OCc1ccccc1)C(=O)NC(CC(O)=O)C(=O)CNS(=O)(=O)CCc1ccccc1,Ki,nM,24.0
50139702,CC(C)[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](C)C(=O)NC(CC(O)=O)C(=O)CNS(=O)(=O)CCc1ccccc1,Ki,nM,4.0
50176493,CC(C)[C@H](NC(=O)c1ccc(Nc2cnc3ccccc3n2)cc1)C(=O)N[C@@H](C)C(=O)N[C@@H](CC(O)=O)C=O,Ki,nM,4.0
50176494,Cc1cc(ccc1Nc1cnc2ccccc2n1)C(=O)NCCCCC(C(=O)N[C@@H](CC(O)=O)C=O)c1cccs1,Ki,nM,4.0
50176495,OC(=O)C[C@H](NC(=O)C(CCCCNC(=O)c1ccc(Nc2cnc3ccccc3n2)cc1)c1ccccc1)C=O,Ki,nM,5.0
50176496,Cc1ccc2nc(Nc3ccc(cc3)C(=O)NCCCCC(C(=O)N[C@@H](CC(O)=O)C=O)c3cccs3)cnc2c1,Ki,nM,5.0
50176497,OC(=O)C[C@H](NC(=O)c1ccc(CNC(=O)c2ccc(Nc3cnc4ccccc4n3)cc2)cc1)C=O,Ki,nM,100.0
50176498,OC(=O)C[C@H](NC(=O)Cc1ccc(CNC(=O)c2ccc(Nc3cnc4ccccc4n3)cc2)s1)C=O,Ki,nM,120.0
50176500,OC(=O)C[C@H](NC(=O)C(CCCCNC(=O)c1ccc(Nc2cnc3ccccc3n2)cc1)c1cccs1)C=O,Ki,nM,7.0
50176502,OC(=O)C[C@H](NC(=O)C(CCCCNC(=O)c1ccc(Oc2cnc3ccccc3n2)cc1)c1cccs1)C=O,Ki,nM,43.0
50176504,OC(=O)C[C@H](NC(=O)C(CCCCNC(=O)c1ccc(Nc2cncc(Cl)n2)cc1)c1cccs1)C=O,Ki,nM,54.0
50176505,CCC(CCCCNC(=O)c1ccc(Nc2cnc3ccccc3n2)cc1)C(=O)N[C@@H](CC(O)=O)C=O,Ki,nM,16.0
50176506,Cc1cc(ccc1Nc1cnc2ccccc2n1)C(=O)NCCCCCC(=O)N[C@@H](CC(O)=O)C=O,Ki,nM,320.0
50176508,OC(=O)C[C@H](NC(=O)c1ccc(CNC(=O)c2ccc(Nc3cnc4ccccc4n3)cc2)s1)C=O,Ki,nM,35.0
50176509,OC(=O)C[C@H](NC(=O)C(CCCCNC(=O)c1ccc(Nc2cnc3ccccc3n2)cc1)c1ccccc1F)C=O,Ki,nM,8.0
50176510,OC(=O)C[C@H](NC(=O)c1ccc(CNC(=O)c2ccc(Nc3cnc4ccccc4n3)cc2)nc1)C=O |r|,Ki,nM,5.0
50176511,OC(=O)C[C@H](NC(=O)c1cc(NC(=O)c2ccc(Nc3cnc4ccccc4n3)cc2)cs1)C=O,Ki,nM,260.0
50176512,OC(=O)C[C@H](NC(=O)c1csc(CNC(=O)c2ccc(Nc3cnc4ccccc4n3)cc2)c1)C=O,Ki,nM,120.0
50176513,OC(=O)C[C@H](NC(=O)C(CCCCNC(=O)c1ccc(Nc2cnccn2)cc1)c1cccs1)C=O,Ki,nM,100.0
50176515,OC(=O)C[C@H](NC(=O)CCCCCNC(=O)c1ccc(Nc2cnc3ccccc3n2)cc1)C=O |r|,Ki,nM,190.0
50176517,CC(C)[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)OCc1ccccc1)C(=O)N[C@@H](C)C(=O)N[C@@H](CC(O)=O)C=O,Ki,nM,180.0
50176519,CC(C)[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](C)C(=O)N[C@@H](CC(O)=O)C=O,Ki,nM,8.0
50199769,OC(=O)C[C@H](NC(=O)[C@@H]1CCCN2N1C(=O)[C@H](CCC2=O)NC(=O)c1nccc2ccccc12)C=O,Ki,nM,0.6
50200543,COc1cc(CN2CCN(CC2)c2cc(nc(n2)N2CCCC2)N2CCCC2)cc(OC)c1,Ki,nM,49.0
50200544,O=C(c1ccccc1)c1ccc(CN2CCN(CC2)c2cc(nc(n2)N2CCCC2)N2CCCC2)cc1,Ki,nM,59.0
50200545,C(N1CCN(CC1)c1cc(nc(n1)N1CCCC1)N1CCCC1)c1ccncc1,Ki,nM,303.0
50200546,COc1cccc(CN2CCN(CC2)c2cc(nc(n2)N2CCCC2)N2CCCC2)c1,Ki,nM,75.0
50200547,C(Cc1ccccc1)N1CCN(CC1)c1cc(nc(n1)N1CCCC1)N1CCCC1,Ki,nM,16.0
50200548,C(N1CCN(CC1)c1cc(nc(n1)N1CCCC1)N1CCCC1)c1cccnc1,Ki,nM,534.0
50200549,C(N1CCN(CC1)c1cc(nc(n1)N1CCCC1)N1CCCC1)c1ccccc1,Ki,nM,200.0
50200550,C1CCN(C1)c1cc(nc(n1)N1CCCC1)N1CCNCC1,Ki,nM,130.0
50200551,C(C1CCCCC1)N1CCN(CC1)c1cc(nc(n1)N1CCCC1)N1CCCC1,Ki,nM,27.0
50200552,FC(F)(F)c1cc(CN2CCN(CC2)c2cc(nc(n2)N2CCCC2)N2CCCC2)cc(c1)C(F)(F)F,Ki,nM,202.0
50200553,CC1Oc2c(C)c(C)c(O)c(C)c2CC1CN1CCN(CC1)c1cc(nc(n1)N1CCCC1)N1CCCC1,Ki,nM,48.0
50200554,FC(F)(F)c1ccc(CN2CCN(CC2)c2cc(nc(n2)N2CCCC2)N2CCCC2)cc1,Ki,nM,183.0
50200555,[O-][N+](=O)c1ccc(CN2CCN(CC2)c2cc(nc(n2)N2CCCC2)N2CCCC2)cc1,Ki,nM,129.0
50200556,[O-][N+](=O)c1ccccc1CN1CCN(CC1)c1cc(nc(n1)N1CCCC1)N1CCCC1,Ki,nM,227.0
50200932,Cc1cccc(C)c1C(=O)OCC(=O)[C@H](CC(O)=O)NC(=O)[C@H](CCCCNC(=O)CCCCCNC(=O)CCCCC1SC[C@@H]2NC(=O)N[C@H]12)NC(=O)[C@H](CCC(O)=O)NC(=O)OCc1ccccc1 |r|,Ki,nM,6.3
50281182,CC(C)[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(C)=O)C(=O)N[C@@H](C)C(=O)N[C@@H](CC(O)=O)C(=O)CCCCc1ccccc1,Ki,nM,42.0
50281183,CC(C)[C@H](NC(=O)CCc1ccccc1)C(=O)N[C@@H](C)C(=O)N[C@@H](CC(O)=O)C(=O)CCc1ccccc1,Ki,nM,610.0
50281184,CC(C)[C@H](NC(=O)CCc1ccccc1)C(=O)N[C@@H](C)C(=O)N[C@@H](CC(O)=O)C(=O)CCCc1ccccc1,Ki,nM,100.0
50282977,CC(C)[C@H](NC(=O)CCc1ccccc1)C(=O)N[C@@H](C)C(=O)NC(CC(O)=O)C(=O)CS(=O)(=O)CCCc1ccccc1,Ki,nM,113.0
50282978,CC(C)[C@H](NC(=O)CCc1ccccc1)C(=O)N[C@@H](C)C(=O)NC(CC(O)=O)C(=O)COC(=O)CCc1ccccc1,Ki,nM,2.7
50282979,CC(C)[C@H](NC(=O)CCc1ccccc1)C(=O)N[C@@H](C)C(=O)NC(CC(O)=O)C(=O)CS(=O)CCCc1ccccc1,Ki,nM,27.0
50282980,CC(C)[C@H](NC(=O)CCc1ccccc1)C(=O)N[C@@H](C)C(=O)NC(CC(O)=O)C(=O)CN(CCc1ccccc1)Cc1ccccc1,Ki,nM,60.0
50282981,CC(C)[C@H](NC(=O)CCc1ccccc1)C(=O)N[C@@H](C)C(=O)NC(CC(O)=O)C(=O)CNCCc1ccccc1,Ki,nM,4.7
50282982,CC(C)[C@H](NC(=O)CCc1ccccc1)C(=O)N[C@@H](C)C(=O)NC(CC(O)=O)C(=O)COC(=O)NCc1ccccc1,Ki,nM,120.0
50282983,CC(C)[C@H](NC(=O)CCc1ccccc1)C(=O)N[C@@H](C)C(=O)NC(CC(O)=O)C(=O)CCCCc1ccccc1,Ki,nM,100.0
50282984,CC(C)[C@H](NC(=O)CCc1ccccc1)C(=O)N[C@@H](C)C(=O)NC(CC(O)=O)C(=O)CSCCCc1ccccc1,Ki,nM,11.0
50283338,CC(C)[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)N(C)C(C)=O)C(=O)N[C@@H](C)C(=O)N[C@@H](CC(O)=O)C=O,Ki,nM,120.0
50283341,CC(C)[C@H](NC(=O)[C@H](Cc1ccccc1)NC(C)=O)C(=O)N[C@@H](C)C(=O)N[C@@H](CC(O)=O)C=O,Ki,nM,42.0
50283343,CC(C)[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(C)=O)C(=O)N[C@@H](C)C(=O)N[C@@H](CC(O)=O)C=NNC(N)=O |w:34.35|,Ki,nM,500.0
