Monomer_ID,SMILES,Affinity_Type,Affinity_Unit,Affinity_Value
50538258,[H][C@@]12CCCN1C(=O)[C@H](CC(N)=O)NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@]1([H])C[C@H](O)CN1C(=O)[C@H](CSCCC(=O)N1CN3CN(C1)C(=O)CCSC[C@]([H])(NC(=O)[C@H](CC(C)C)NC2=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N1CCC[C@@]1([H])C(=O)N[C@H](CC(O)=O)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CCCCNC(N)=N)C(=O)N[C@@H](CSCCC3=O)C(=O)N[C@@H](C)C(N)=O)NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](CCCCNC(N)=N)NC(=O)[C@H](C)N)C(C)C |r|,Ki,nM,2.0
50538259,[H][C@@]12CCCN1C(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H]1CSCCC(=O)N3CN(CN(C3)C(=O)CCSC[C@H](NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](CCCCNC(N)=N)NC(=O)[C@H](C)N)C(=O)N3CCC[C@@]3([H])C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC(N)=O)C(=O)N3CCC[C@@]3([H])C(=O)N[C@@H](CC(C)C)C(=O)N1)C(=O)CCSC[C@H](NC(=O)[C@@]([H])(NC(=O)[C@H](Cc1c[nH]c3ccccc13)NC(=O)CNC2=O)[C@@H](C)O)C(=O)N[C@@H](C)C(N)=O |r|,Ki,nM,9.0
50538260,[H][C@@]12CCCN1C(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H]1CSCCC(=O)N3CN(CN(C3)C(=O)CCSC[C@H](NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](CCCNC(N)=N)NC(=O)[C@H](C)N)C(=O)N3CCC[C@@]3([H])C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC(N)=O)C(=O)N3CCC[C@@]3([H])C(=O)N[C@@H](CC(C)C)C(=O)N1)C(=O)CCSC[C@H](NC(=O)[C@H](CCCCNC(N)=N)NC(=O)[C@H](Cc1c[nH]c3ccccc13)NC(=O)CNC2=O)C(=O)N[C@@H](C)C(N)=O |r|,Ki,nM,5.2
50538261,[H][C@@]12CCCN1C(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](CC(C)C)NC(=O)[C@]1([H])CSCCC(=O)N3CN(CN(C3)C(=O)CCSC[C@H](NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](CCCNC(N)=N)NC(=O)[C@H](C)N)C(=O)N3CCC[C@@]3([H])C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC(N)=O)C(=O)N3CCC[C@@]3([H])C(=O)N[C@@H](CC(C)C)C(=O)N1)C(=O)CCSC[C@H](NC(=O)[C@@]([H])(NC(=O)[C@H](Cc1ccc3ccccc3c1)NC(=O)CNC2=O)[C@@H](C)O)C(=O)N[C@@H](C)C(N)=O |r|,Ki,nM,539
50538263,[H][C@@]12CCCN1C(=O)[C@H](CC(N)=O)NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@]1([H])CCCN1C(=O)[C@H](CSCCC(=O)N1CN3CN(C1)C(=O)CCSC[C@H](NC(=O)[C@H](CC(C)C)NC2=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N1CCC[C@@]1([H])C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@]([H])([C@@H](C)O)C(=O)N[C@@H](CSCCC3=O)C(=O)N[C@@H](C)C(N)=O)NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](CCCNC(N)=N)NC(=O)[C@H](C)N)C(C)C |r|,Ki,nM,6.8
50538264,[H][C@@]12CCCN1C(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H]1CSCCC(=O)N3CN(CN(C3)C(=O)CCSC[C@H](NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](CCCNC(N)=N)NC(=O)[C@H](C)N)C(=O)N3CCC[C@@]3([H])C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC(N)=O)C(=O)N3CCC[C@@]3([H])C(=O)N[C@@H](CC(C)C)C(=O)N1)C(=O)CCSC[C@H](NC(=O)[C@@]([H])(NC(=O)[C@H](Cc1c[nH]c3ccccc13)NC(=O)[C@@H](C)NC2=O)[C@@H](C)O)C(=O)N[C@@H](C)C(N)=O |r|,Ki,nM,4.8
50538265,[H][C@@]12CCCN1C(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H]1CSCCC(=O)N3CN(CN(C3)C(=O)CCSC[C@H](NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](CCCNC(N)=N)NC(=O)[C@H](C)N)C(=O)N3CCC[C@@]3([H])C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC(N)=O)C(=O)N3CCC[C@@]3([H])C(=O)N[C@@H](CC(C)C)C(=O)N1)C(=O)CCSC[C@H](NC(=O)[C@@]([H])(NC(=O)[C@H](Cc1c[nH]c3ccccc13)NC(=O)CNC2=O)[C@@H](C)O)C(=O)N[C@@H](C)C(N)=O |r|,Ki,nM,13
50538266,[H][C@@]12CCCN1C(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@]1([H])CSCCC(=O)N3CN(CN(C3)C(=O)CCSC[C@H](NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](CCCNC(N)=N)NC(=O)[C@H](C)N)C(=O)N3CCC[C@@]3([H])C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC(N)=O)C(=O)N3CCC[C@H]3C(=O)N[C@@H](CC(C)C)C(=O)N1)C(=O)CCSC[C@H](NC(=O)[C@@]([H])(NC(=O)[C@H](Cc1c[nH]c3ccccc13)NC(=O)CNC2=O)[C@@H](C)O)C(=O)N[C@@H](C)C(N)=O)C(c1ccccc1)c1ccccc1 |r|,Ki,nM,1.5
50538267,[H][C@@]12CCCN1C(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](CC(C)C)NC(=O)[C@]1([H])CSCCC(=O)N3CN(CN(C3)C(=O)CCSC[C@H](NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](CCCNC(N)=N)NC(=O)[C@H](C)N)C(=O)N3CCC[C@@]3([H])C(=O)N[C@@H](CC3CCC3)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC(N)=O)C(=O)N3CCC[C@H]3C(=O)N[C@@H](CC(C)C)C(=O)N1)C(=O)CCSC[C@H](NC(=O)[C@@]([H])(NC(=O)[C@H](Cc1c[nH]c3ccccc13)NC(=O)CNC2=O)[C@@H](C)O)C(=O)N[C@@H](C)C(N)=O |r|,Ki,nM,5.5
50538268,[H][C@@]12CCCN1C(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H]1CSCCC(=O)N3CN(CN(C3)C(=O)CCSC[C@H](NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](CCCNC(N)=N)NC(=O)[C@H](C)N)C(=O)N3CCC[C@H]3C(=O)N[C@@H](C3CCCC3)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC(N)=O)C(=O)N3CCC[C@@]3([H])C(=O)N[C@@H](CC(C)C)C(=O)N1)C(=O)CCSC[C@H](NC(=O)[C@@]([H])(NC(=O)[C@H](Cc1c[nH]c3ccccc13)NC(=O)CNC2=O)[C@@H](C)O)C(=O)N[C@@H](C)C(N)=O |r|,Ki,nM,35
50538269,[H][C@@]12CCCN1C(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](CC(C)C)NC(=O)[C@]1([H])CSCCC(=O)N3CN(CN(C3)C(=O)CCSC[C@H](NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](CCCNC(N)=N)NC(=O)[C@H](C)N)C(=O)N3CCC[C@@]3([H])C(=O)N[C@@H](CCc3ccccc3)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC(N)=O)C(=O)N3CCC[C@@]3([H])C(=O)N[C@@H](CC(C)C)C(=O)N1)C(=O)CCSC[C@H](NC(=O)[C@@]([H])(NC(=O)[C@H](Cc1c[nH]c3ccccc13)NC(=O)CNC2=O)[C@@H](C)O)C(=O)N[C@@H](C)C(N)=O |r|,Ki,nM,15
50538270,[H][C@@]12CCCN1C(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](CC(C)C)NC(=O)[C@]1([H])CSCCC(=O)N3CN(CN(C3)C(=O)CCSC[C@]([H])(NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](CCCNC(N)=N)NC(=O)[C@H](C)N)C(=O)N3C[C@H](O)C[C@@]3([H])C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC(N)=O)C(=O)N3CCC[C@H]3C(=O)N[C@@H](CC(C)C)C(=O)N1)C(=O)CCSC[C@H](NC(=O)[C@@]([H])(NC(=O)[C@H](Cc1c[nH]c3ccccc13)NC(=O)CNC2=O)[C@@H](C)O)C(=O)N[C@@H](C)C(N)=O |r|,Ki,nM,2.8
50538271,[H][C@@]12CCCN1C(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](CC(C)C)NC(=O)[C@]1([H])CSCCC(=O)N3CN(CN(C3)C(=O)CCSC[C@]([H])(NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](CCCNC(N)=N)NC(=O)[C@H](C)N)C(=O)N3CCC[C@@]3([H])C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC(N)=O)C(=O)N3CCC[C@@]3([H])C(=O)N[C@@H](CC(C)C)C(=O)N1)C(=O)CCSC[C@H](NC(=O)[C@@]([H])(NC(=O)[C@H](Cc1c[nH]c3ccccc13)NC(=O)CNC2=O)[C@@H](C)O)C(=O)N[C@@H](C)C(N)=O |r|,Ki,nM,5.8
50538272,[H][C@@]12CCCN1C(=O)[C@H](CC(N)=O)NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@]1([H])CCCN1C(=O)[C@H](CSCCC(=O)N1CN3CN(C1)C(=O)CCSC[C@]([H])(NC(=O)[C@H](CC(C)C)NC2=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N1CCC[C@@]1([H])C(=O)N[C@H](CC(O)=O)C(=O)N[C@@H](CC1CCc2ccccc12)C(=O)NC(CCCCNC(N)=N)C(=O)N[C@@H](CSCCC3=O)C(N)=O)NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](CCCNC(N)=N)NC(=O)[C@H](C)NC(=O)CN(C)C(=O)CN(C)C(=O)CN(C)C(=O)CN(C)CC(=O)N(C)CC(=O)N(C)CC(=O)N(C)CC(=O)N(C)CC(=O)N(C)CC(=O)N(C)C(=O)CCN)C(C)C |r|,Ki,nM,5.7
50538273,"[H][C@]12O[C@]1(C)[C@@H](CC(=O)N(C)c1cc(C\C(C)=C\C=C\[C@H](OC)[C@]3(O)C[C@@]([H])(OC(=O)N3)[C@@H]2C)cc(OC)c1Cl)OC(=O)[C@@H](C)N(C)C(=O)CCSSCCCC(=O)NCCC(=O)N(C)C(=O)CN(C)C(=O)CN(C)C(=O)CN(C)C(=O)CN(C)C(=O)CN(C)C(=O)CN(C)CC(=O)N(C)CC(=O)N(C)CC(=O)N(C)CC(=O)N[C@@H](C)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@H]1CSCCC(=O)N2CN3CN(C2)C(=O)CCSC[C@]([H])(NC(=O)[C@H](CC(C)C)NC(=O)[C@]2([H])CCCN2C(=O)[C@H](CC(N)=O)NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@]2([H])CCCN2C1=O)C(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N1CCC[C@@]1([H])C(=O)N[C@H](CC(O)=O)C(=O)N[C@@H](CC1CCc2ccccc12)C(=O)NC(CCCCNC(N)=N)C(=O)N[C@@H](CSCCC3=O)C(N)=O |r,t:17,19|",Ki,nM,3.1
50538274,[H][C@@]12CCCN1C(=O)[C@H](CC(N)=O)NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@]1([H])CCCN1C(=O)[C@H](CSCCC(=O)N1CN3CN(C1)C(=O)CCSC[C@]([H])(NC(=O)[C@H](CC(C)C)NC2=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N1CCC[C@@]1([H])C(=O)N[C@H](CC(O)=O)C(=O)N[C@@H](CC1CCc2ccccc12)C(=O)NC(CCCCNC(N)=N)C(=O)N[C@@H](CSCCC3=O)C(N)=O)NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](CCCNC(N)=N)NC(=O)[C@H](C)NC(=O)CN(C)C(=O)CN(C)C(=O)CN(C)C(=O)CN(C)CC(=O)N(C)CC(=O)N(C)CC(=O)N(C)CC(=O)N(C)CC(=O)N(C)CC(=O)N(C)C(=O)CCOC(=O)CN1CCN(CC(O)=O)CCN(CC(O)=O)CCN(CC(O)=O)CC1)C(C)C |r|,Ki,nM,5.1
50551201,[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC[C@]4([H])C[C@@H](CC[C@]4(C)[C@@]3([H])CC[C@]12C)OC(=O)NCC)[C@H](C)CCC(=O)N[C@H](CC(O)=O)Cc1c[nH]c2ccccc12 |r|,Ki,nM,300
