Monomer_ID,SMILES,Affinity_Type,Affinity_Unit,Affinity_Value
170705,COC(=O)COc1ccc2n(cc(NC(=O)N3C4CC4C[C@H]3C(=O)NCc3cccc(Cl)c3F)c2c1)C(N)=O |r|,IC50,nM,6
170706,NC(=O)n1cc(NC(=O)N2[C@H]3CC3C[C@H]2C(=O)Nc2cccc(OC(F)(F)F)c2)c2ccccc12 |r|,IC50,nM,500
170707,NC(=O)n1cc(NC(=O)N2CC3CC3[C@H]2C(=O)NCc2cccc(Cl)c2F)c2ccccc12 |r|,IC50,nM,59
170709,C[C@H]1C[C@H](N(C1)C(=O)Nc1cn(C(N)=O)c2ccccc12)C(=O)Nc1cccc(OC(F)(F)F)c1 |r|,IC50,nM,300
170710,NC(=O)n1cc(NC(=O)N2C[C@H](F)C[C@H]2C(=O)NCc2cccc(Br)c2F)c2ccccc12 |r|,IC50,nM,9
170713,NC(=O)n1cc(NC(=O)N2CC3CC3[C@H]2C(=O)Nc2cccc(OC(F)(F)F)c2)c2ccccc12 |r|,IC50,nM,650
170714,NC(=O)n1cc(NC(=O)N2CCS[C@H]2C(=O)Nc2cccc(OC(F)(F)F)c2F)c2ccccc12 |r|,IC50,nM,19
170715,COC(=O)c1cc(Cl)cc(NC(=O)[C@@H]2C[C@@H](F)CN2C(=O)Nc2cn(C(N)=O)c3ccccc23)c1 |r|,IC50,nM,350
170716,NC(=O)n1cc(NC(=O)N2C[C@H](F)C[C@H]2C(=O)NCc2cc(cc(Cl)c2F)C(O)=O)c2ccccc12 |r|,IC50,nM,15
170717,"NC(=O)n1cc(NC(=O)N2CC=C[C@H]2C(=O)Nc2cccc(OC(F)(F)F)c2)c2ccccc12 |r,c:11|",IC50,nM,300
170718,NC(=O)n1cc(NC(=O)N2CC3O[C@@H]3[C@H]2C(=O)NCc2cccc(Cl)c2F)c2ccccc12 |r|,IC50,nM,9
170719,NC(=O)n1cc(NC(=O)N2C[C@H](C[C@H]2C(=O)NCc2cccc(Cl)c2F)C(F)(F)F)c2ccccc12 |r|,IC50,nM,120
170720,NC(=O)n1cc(NC(=O)N2C3CC3C[C@H]2C(=O)Nc2cccc(Br)c2)c2ccccc12 |r|,IC50,nM,45
170722,NC(=O)n1cc(NC(=O)N2C[C@H](F)C[C@H]2C(=O)Nc2cccc(Br)c2)c2ccccc12 |r|,IC50,nM,25
170725,COC(=O)c1cc(Br)cc(NC(=O)[C@@H]2C[C@@H](F)CN2C(=O)Nc2cn(C(N)=O)c3ccccc23)c1 |r|,IC50,nM,55
170727,NC(=O)n1cc(NC(=O)N2C3CC3C[C@H]2C(=O)NCc2ccc(Cl)s2)c2ccccc12 |r|,IC50,nM,20
170728,COC(=O)c1ccc(NC(=O)[C@@H]2C[C@@H](F)CN2C(=O)Nc2cn(C(N)=O)c3ccccc23)cc1Br |r|,IC50,nM,150
170729,C[C@@H]1C[C@H](N(C1)C(=O)Nc1cn(C(N)=O)c2ccccc12)C(=O)Nc1cccc(OC(F)(F)F)c1 |r|,IC50,nM,850
170730,CCc1cccc(NC(=O)[C@@H]2CC3CC3N2C(=O)Nc2cn(C(N)=O)c3ccccc23)n1 |r|,IC50,nM,80
170731,NC(=O)n1cc(NC(=O)N2C[C@H](F)C[C@H]2C(=O)Nc2cc(Br)cc(c2)C(O)=O)c2ccccc12 |r|,IC50,nM,55
170733,NC(=O)n1cc(NC(=O)N2CSC[C@H]2C(=O)Nc2cccc(OC(F)(F)F)c2)c2ccccc12 |r|,IC50,nM,987
170734,COCCOc1ccc2n(cc(NC(=O)N3C4CC4C[C@H]3C(=O)NCc3cccc(Cl)c3F)c2c1)C(N)=O |r|,IC50,nM,5
170735,CCc1cccc(NC(=O)[C@@H]2C[C@@H](F)CN2C(=O)Nc2cn(C(N)=O)c3ccccc23)n1 |r|,IC50,nM,100
170736,C[C@]1(O)C[C@H](N(C1)C(=O)Nc1cn(C(N)=O)c2ccccc12)C(=O)NCc1cccc(Cl)c1F |r|,IC50,nM,400
170737,Cc1ncc(NC(=O)[C@@H]2C[C@@H](F)CN2C(=O)Nc2cn(C(N)=O)c3ccccc23)cc1Br |r|,IC50,nM,140
170738,NC(=O)n1cc(NC(=O)N2C3CC3C[C@H]2C(=O)NCc2cccc(Cl)c2F)c2ccccc12 |r|,IC50,nM,3
170739,NC(=O)n1cc(NC(=O)N2C[C@H]3C[C@H]3[C@H]2C(=O)NCc2cccc(Cl)c2)c2ccccc12 |r|,IC50,nM,108
170740,Cc1ncc(Br)cc1NC(=O)[C@@H]1C[C@@H](F)CN1C(=O)Nc1cn(C(N)=O)c2ccccc12 |r|,IC50,nM,250
170741,NC(=O)n1cc(NC(=O)N2CCS[C@H]2C(=O)NCc2cccc(F)c2F)c2ccccc12 |r|,IC50,nM,268
170742,NC(=O)n1cc(NC(=O)N2CCC[C@H]2C(=O)NCc2cccc(Cl)c2F)c2ccccc12 |r|,IC50,nM,30
170743,NC(=O)n1cc(NC(=O)N2[C@@H]3C[C@@H]3C[C@H]2C(=O)Nc2cncc(Br)c2)c2ccccc12 |r|,IC50,nM,200
