Monomer_ID,SMILES,Affinity_Type,Affinity_Value
241213,COc1cc(ccc1Nc1ncc2ccnc(NC3CCCCC3)c2n1)-c1cnn(C)c1,Ki,100
241216,COc1cc(ccc1Nc1ncc2ccnc(NCC3CC3)c2n1)-c1cnn(C)c1,Ki,540
241223,COc1cc(ccc1Nc1ncc2ccnc(NCC(C)C)c2n1)-c1cnn(C)c1,Ki,430
241226,COc1cc(ccc1Nc1ncc2ccnc(NCC(C)(C)C)c2n1)-c1cnn(C)c1,Ki,230
241234,COc1cc(ccc1Nc1ncc2ccnc(N[C@H](C)C(C)(C)C)c2n1)-c1cnn(C)c1 |r|,Ki,240
241235,COc1cc(ccc1Nc1ncc2ccnc(N[C@@H](C)C(C)(C)C)c2n1)-c1cnn(C)c1 |r|,Ki,280
241331,COc1cc(ccc1Nc1ncc2ccnc(NCC(C)(C)C)c2n1)-c1nncn1C,Ki,8.0
241333,COc1cc(ccc1Nc1ncc2cc(C)nc(NCC(C)(C)C)c2n1)-c1cnc(C)n1C,Ki,720
241335,COc1cc(ccc1Nc1ncc2cc(C)nc(NCC(C)(C)C)c2n1)-c1nncn1C,Ki,65
241338,CCOc1cc(ccc1Nc1ncc2cc(C)nc(NCC(C)(C)C)c2n1)-c1nncn1C,Ki,510
370112,CS(=O)(=O)N1CCC(CC1)Nc1ncc2ccc(=O)n(C3CCCC3)c2n1,Ki,0.710
370113,C[C@@]1(O)CCC[C@H]1n1c2nc(NC3CCN(CC3)S(C)(=O)=O)ncc2ccc1=O |r|,Ki,0.200
370114,CS(=O)(=O)N1CCC(CC1)Nc1ncc2ccc(=O)n([C@@H]3CCC[C@@H](O)C3)c2n1 |r|,Ki,0.260
370115,CNS(=O)(=O)N1CCC(CC1)Nc1ncc2cc(CCO)c(=O)n([C@@H]3CCC[C@@H]3C)c2n1 |r|,Ki,0.060
370116,CNS(=O)(=O)N1CCC(CC1)Nc1ncc2cc(F)c(=O)n([C@H]3CCC[C@]3(C)O)c2n1 |r|,Ki,4.75
