Monomer_ID,Internal_ID,SMILES,pKi
50080692,2114,NCC(=O)NCC(=O)Nc1ccc(cc1)S(=O)(=O)Nc1ccc(cc1)S(N)(=O)=O,8.0
50208749,2115,CC1(C)O[C@@H]2CO[C@@]3(CNC(=S)NCCc4ccc(cc4)S(N)(=O)=O)OC(C)(C)O[C@H]3[C@@H]2O1,8.0
50494148,2116,Cc1ncc(n1CCNS(N)(=O)=O)[N+]([O-])=O,8.0
50097313,2117,NS(=O)(=O)c1ccc(NC(=O)CN(CCN(CCN(CC(O)=O)CC(=O)Nc2ccc(cc2Br)S(N)(=O)=O)CC(O)=O)CC(O)=O)c(Br)c1,8.0
50211836,2118,NS(=O)(=O)c1ccc(CCNC(=S)NC(=O)Nc2ccc(Cl)c(Cl)c2)cc1,8.0
50211833,2119,Cn1cccc1\C=N\CCc1ccc(cc1)S(N)(=O)=O,8.0
50211824,2120,NC(=O)Nc1ccc(cc1)S(=O)(=O)Nc1cccc(c1)S(N)(=O)=O,8.0
16662,2121,NS(=O)(=O)c1ccc(NS(=O)(=O)c2ccc(cc2)[N+]([O-])=O)cc1,8.0
50084579,2122,Cc1cc(C)[n+](CC(=O)Nc2nnc(s2)S(N)(=O)=O)c(C)c1,8.0
50084581,2123,Cc1cc(cc(C)[n+]1CC(=O)Nc1cc(c(cc1S(N)(=O)=O)S(N)(=O)=O)C(F)(F)F)-c1ccccc1,8.0
50136099,2124,CCCCCCCCCCCCOS(N)(=O)=O,8.0
50137676,2125,CC1OC(Nc2ccc(cc2)S(N)(=O)=O)C(O)C(O)C1O,8.0
50344556,2126,NS(=O)(=O)c1nnc(NS(=O)(=O)c2ccc(cc2)C(=O)OCCCCO[N+]([O-])=O)s1,8.0
85660,2127,CC[N+](CC)(CC)CC(=O)Nc1nnc(s1)S(=O)ON,8.0
50147755,2128,COc1ccc2c(c1)nc(S)n(-c1ccc(cc1)S(N)(=O)=O)c2=O,8.0
50028010,2129,OS(=N)(=O)Cc1noc2ccccc12,8.0
11036,2130,CCC(=O)NC1Cc2ccc(cc2C1)S(N)(=O)=O,8.0
50101361,2131,NS(=O)(=O)c1nnc(NC(=O)c2ccc(Cl)c(c2)S(N)(=O)=O)s1,8.0
50101360,2132,NS(=O)(=O)c1ccc(NC(=O)c2ccc(cc2)S(N)(=O)=O)cc1,8.0
